,Component,Waiting,Interpolation,Sending
850500,0.261,0.000,0.002,0.000
853200,0.457,0.000,0.002,0.000
855900,0.264,0.000,0.002,0.000
858600,0.263,0.000,0.003,0.000
861300,0.262,0.000,0.002,0.000
864000,0.596,0.000,0.001,0.000
866700,0.261,0.000,0.002,0.000
869400,0.267,0.000,0.005,0.000
872100,0.263,0.000,0.004,0.000
874800,0.461,0.000,0.002,0.000
877500,0.263,0.000,0.002,0.000
880200,0.270,0.000,0.002,0.000
882900,0.264,0.000,0.002,0.000
885600,0.542,0.000,0.001,0.000
888300,0.267,0.000,0.001,0.000
891000,0.269,0.000,0.001,0.000
893700,0.266,0.000,0.002,0.000
896400,0.466,0.000,0.005,0.000
899100,0.267,0.000,0.002,0.000
901800,0.269,0.000,0.002,0.000
904500,0.262,0.000,0.001,0.000
907200,0.539,0.000,0.001,0.000
909900,0.265,0.000,0.001,0.000
912600,0.269,0.000,0.002,0.000
915300,0.266,0.000,0.002,0.000
918000,0.468,0.000,0.002,0.000
920700,0.265,0.000,0.002,0.000
923400,0.274,0.000,0.006,0.000
926100,0.266,0.000,0.001,0.000
928800,0.595,0.000,0.001,0.000
931500,0.263,0.000,0.002,0.000
934200,0.270,0.000,0.008,0.000
936900,0.275,0.000,0.002,0.000
939600,0.467,0.000,0.005,0.000
942300,0.265,0.000,0.003,0.000
945000,0.268,0.000,0.004,0.000
947700,0.261,0.000,0.002,0.000
950400,0.533,0.000,0.001,0.000
953100,0.263,0.000,0.001,0.000
955800,0.263,0.000,0.002,0.000
958500,0.261,0.000,0.002,0.000
961200,0.470,0.000,0.001,0.000
963900,0.259,0.000,0.001,0.000
966600,0.263,0.000,0.002,0.000
969300,0.260,0.000,0.002,0.000
972000,0.522,0.000,0.001,0.000
974700,0.260,0.000,0.001,0.000
977400,0.264,0.000,0.002,0.000
980100,0.264,0.000,0.002,0.000
982800,0.464,0.000,0.002,0.000
985500,0.262,0.000,0.001,0.000
988200,0.295,0.000,0.085,0.000
990900,0.332,0.000,0.010,0.000
993600,0.536,0.000,0.002,0.000
996300,0.260,0.000,0.001,0.000
999000,0.266,0.000,0.002,0.000
1001700,0.262,0.000,0.004,0.000
1004400,0.460,0.000,0.001,0.000
1007100,0.261,0.000,0.001,0.000
1009800,0.266,0.000,0.002,0.000
1012500,0.263,0.000,0.001,0.000
1015200,0.592,0.000,0.002,0.000
1017900,0.261,0.000,0.001,0.000
1020600,0.264,0.000,0.002,0.000
1023300,0.263,0.000,0.001,0.000
1026000,0.462,0.000,0.002,0.000
1028700,0.261,0.000,0.002,0.000
1031400,0.267,0.000,0.002,0.000
1034100,0.260,0.000,0.002,0.000
1036800,0.534,0.000,0.002,0.000
1039500,0.263,0.000,0.002,0.000
1042200,0.266,0.000,0.001,0.000
1044900,0.260,0.000,0.003,0.000
1047600,0.461,0.000,0.002,0.000
1050300,0.262,0.000,0.002,0.000
1053000,0.265,0.000,0.001,0.000
1055700,0.261,0.000,0.004,0.000
1058400,0.573,0.000,0.001,0.000
1061100,0.258,0.000,0.002,0.000
1063800,0.266,0.000,0.002,0.000
1066500,0.264,0.000,0.002,0.000
1069200,0.466,0.000,0.001,0.000
1071900,0.265,0.000,0.001,0.000
1074600,0.268,0.000,0.002,0.000
1077300,0.261,0.000,0.002,0.000
1080000,0.597,0.000,0.001,0.000
1082700,0.261,0.000,0.001,0.000
1085400,0.266,0.000,0.002,0.000
1088100,0.262,0.000,0.002,0.000
1090800,0.462,0.000,0.001,0.000
1093500,0.262,0.000,0.002,0.000
1096200,0.263,0.000,0.002,0.000
1098900,0.265,0.000,0.002,0.000
1101600,0.530,0.000,0.001,0.000
1104300,0.264,0.000,0.002,0.000
1107000,0.268,0.000,0.002,0.000
1109700,0.266,0.000,0.003,0.000
1112400,0.463,0.000,0.002,0.000
1115100,0.264,0.000,0.002,0.000
1117800,0.269,0.000,0.002,0.000
1120500,0.263,0.000,0.006,0.000
1123200,0.528,0.000,0.001,0.000
1125900,0.265,0.000,0.002,0.000
1128600,0.267,0.000,0.002,0.000
1131300,0.262,0.000,0.001,0.000
1134000,0.459,0.000,0.001,0.000
1136700,0.260,0.000,0.002,0.000
1139400,0.264,0.000,0.002,0.000
1142100,0.259,0.000,0.001,0.000
1144800,0.586,0.000,0.001,0.000
1147500,0.265,0.000,0.002,0.000
1150200,0.271,0.000,0.002,0.000
1152900,0.268,0.000,0.002,0.000
1155600,0.466,0.000,0.005,0.000
1158300,0.266,0.000,0.002,0.000
1161000,0.268,0.000,0.002,0.000
1163700,0.263,0.000,0.002,0.000
1166400,0.530,0.000,0.001,0.000
1169100,0.261,0.000,0.001,0.000
1171800,0.268,0.000,0.006,0.000
1174500,0.264,0.000,0.001,0.000
1177200,0.461,0.000,0.002,0.000
1179900,0.262,0.000,0.001,0.000
1182600,0.264,0.000,0.002,0.000
1185300,0.259,0.000,0.004,0.000
1188000,0.527,0.000,0.001,0.000
1190700,0.261,0.000,0.004,0.000
1193400,0.266,0.000,0.002,0.000
1196100,0.260,0.000,0.001,0.000
1198800,0.459,0.000,0.001,0.000
1201500,0.263,0.000,0.001,0.000
1204200,0.265,0.000,0.002,0.000
1206900,0.265,0.000,0.002,0.000
1209600,0.524,0.000,0.001,0.000
1212300,0.261,0.000,0.002,0.000
1215000,0.264,0.000,0.001,0.000
1217700,0.263,0.000,0.001,0.000
1220400,0.459,0.000,0.002,0.000
1223100,0.263,0.000,0.002,0.000
1225800,0.268,0.000,0.002,0.000
1228500,0.262,0.000,0.006,0.000
1231200,0.584,0.000,0.001,0.000
1233900,0.326,0.000,0.074,0.000
1236600,0.301,0.000,0.002,0.000
1239300,0.264,0.000,0.004,0.000
1242000,0.466,0.000,0.003,0.000
1244700,0.266,0.000,0.002,0.000
1247400,0.268,0.000,0.006,0.000
1250100,0.262,0.000,0.002,0.000
1252800,0.525,0.000,0.001,0.000
1255500,0.265,0.000,0.002,0.000
1258200,0.270,0.000,0.001,0.000
1260900,0.265,0.000,0.002,0.000
1263600,0.473,0.000,0.002,0.000
1266300,0.270,0.000,0.001,0.000
