,Component,Waiting,Interpolation,Sending
1225800,0.218,0.002,0.000,0.000
1228500,0.219,0.033,0.000,0.000
1231200,0.216,0.009,0.000,0.000
1233900,0.212,0.312,0.000,0.000
1236600,0.220,0.011,0.000,0.000
1239300,0.212,0.030,0.000,0.000
1242000,0.217,0.015,0.000,0.000
1244700,0.218,0.190,0.000,0.000
1247400,0.211,0.005,0.000,0.000
1250100,0.212,0.049,0.000,0.000
1252800,0.210,0.009,0.000,0.000
1255500,0.212,0.281,0.000,0.000
1258200,0.212,0.023,0.000,0.000
1260900,0.216,0.025,0.000,0.000
1263600,0.212,0.008,0.000,0.000
1266300,0.212,0.208,0.000,0.000
1269000,0.219,0.026,0.000,0.000
1271700,0.230,0.011,0.000,0.000
1274400,0.238,0.009,0.000,0.000
1277100,0.218,0.330,0.000,0.000
1279800,0.213,0.096,0.000,0.000
1282500,0.396,0.095,0.000,0.000
1285200,0.395,0.012,0.000,0.000
1287900,0.699,0.307,0.001,0.000
1290600,0.924,0.000,0.000,0.000
1293300,0.585,0.000,0.000,0.000
1296000,0.278,0.000,0.000,0.000
1298700,0.220,0.745,0.000,0.000
1301400,0.217,0.075,0.000,0.000
1304100,0.218,0.099,0.000,0.000
1306800,0.212,0.004,0.000,0.000
1309500,0.216,0.207,0.000,0.000
1312200,0.216,0.000,0.000,0.000
1314900,0.212,0.041,0.000,0.000
1317600,0.214,0.005,0.000,0.000
1320300,0.215,0.267,0.000,0.000
1323000,0.212,0.026,0.000,0.000
1325700,0.211,0.023,0.000,0.000
1328400,0.215,0.025,0.000,0.000
1331100,0.226,0.186,0.000,0.000
1333800,0.211,0.000,0.000,0.000
1336500,0.216,0.053,0.000,0.000
1339200,0.219,0.011,0.000,0.000
1341900,0.213,0.253,0.000,0.000
1344600,0.219,0.029,0.000,0.000
1347300,0.216,0.009,0.000,0.000
1350000,0.220,0.036,0.000,0.000
1352700,0.326,0.182,0.001,0.000
1355400,0.236,0.055,0.000,0.000
1358100,0.221,0.035,0.000,0.000
1360800,0.215,0.002,0.000,0.000
1363500,0.217,0.339,0.000,0.000
1366200,0.216,0.007,0.000,0.000
1368900,0.221,0.038,0.000,0.000
1371600,0.216,0.000,0.000,0.000
1374300,0.213,0.209,0.000,0.000
1377000,0.240,0.038,0.000,0.000
1379700,0.213,0.000,0.000,0.000
1382400,0.214,0.040,0.000,0.000
1385100,0.217,0.258,0.000,0.000
1387800,0.218,0.004,0.000,0.000
1390500,0.219,0.035,0.000,0.000
1393200,0.226,0.000,0.000,0.000
1395900,0.214,0.194,0.000,0.000
1398600,0.222,0.012,0.000,0.000
1401300,0.217,0.016,0.000,0.000
1404000,0.215,0.013,0.000,0.000
1406700,0.213,0.259,0.000,0.000
1409400,0.213,0.020,0.000,0.000
1412100,0.217,0.026,0.000,0.000
1414800,0.218,0.006,0.000,0.000
1417500,0.218,0.206,0.000,0.000
1420200,0.215,0.016,0.000,0.000
1422900,0.218,0.028,0.000,0.000
1425600,0.214,0.003,0.000,0.000
1428300,0.219,0.272,0.000,0.000
1431000,0.221,0.010,0.000,0.000
1433700,0.215,0.035,0.000,0.000
1436400,0.220,0.014,0.000,0.000
1439100,0.217,0.199,0.000,0.000
1441800,0.217,0.016,0.000,0.000
1444500,0.284,0.034,0.000,0.000
1447200,0.219,0.000,0.000,0.000
1449900,0.215,0.326,0.000,0.000
1452600,0.212,0.007,0.000,0.000
1455300,0.214,0.038,0.000,0.000
1458000,0.215,0.007,0.000,0.000
1460700,0.216,0.209,0.000,0.000
1463400,0.218,0.004,0.000,0.000
1466100,0.216,0.041,0.000,0.000
1468800,0.217,0.003,0.000,0.000
1471500,0.218,0.283,0.000,0.000
1474200,0.214,0.002,0.000,0.000
1476900,0.218,0.042,0.000,0.000
1479600,0.213,0.004,0.000,0.000
1482300,0.218,0.206,0.000,0.000
1485000,0.214,0.004,0.000,0.000
1487700,0.222,0.044,0.000,0.000
1490400,0.212,0.003,0.000,0.000
1493100,0.220,0.269,0.000,0.000
1495800,0.222,0.007,0.000,0.000
1498500,0.214,0.033,0.000,0.000
1501200,0.219,0.012,0.000,0.000
1503900,0.212,0.192,0.000,0.000
1506600,0.221,0.009,0.000,0.000
1509300,0.216,0.029,0.000,0.000
